Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Insibe,https://www.crunchbase.com/organization/insibe,"Zinj, Al Manamah, Bahrain",Insibe is a web and mobile application development company.,"1,168,894",mail@insibe.com,973 35928671,,https://www.linkedin.com/company/insibe/,https://www.facebook.com/InsibeTech/,https://twitter.com/insibetech,http://www.insibe.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"Mobile Apps, Web Development",,,,,,"Apps, Mobile, Software",,,29,,,2014-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EShipSol,https://www.crunchbase.com/organization/eshipsol,"Manama, Al Manamah, Bahrain",Eshipsol is an ecommerce logistics company.,"1,177,448",,,,https://www.linkedin.com/company/eshipsol/,https://www.facebook.com/sellonlinewithbooosts/,https://twitter.com/eshipsol,https://eshipsol.com/,For Profit,,,Gulf Cooperation Council (GCC),"E-Commerce, Shipping",,,,,,"Commerce and Shopping, Transportation",,,5,,,2017-04-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Dana,https://www.crunchbase.com/organization/al-dana,"Manama, Al Manamah, Bahrain","Al Dana they are dedicated in advising families with tangible and non-tangible, business, financial, human and social assets.","1,198,228",info@aldana.co.uk,+41788996245,,,,,http://www.aldana.co.uk,For Profit,,,Gulf Cooperation Council (GCC),Finance,,,,,,Financial Services,,,16,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARSiRENT,https://www.crunchbase.com/organization/carsirent,"Manama, Al Manamah, Bahrain",CARSiRENT is an online transport platform that offers car rental and chauffeur drive services.,"1,205,249",support@carsirent.com,1 (800) 959 0551,,https://www.linkedin.com/company/carsirent,https://www.facebook.com/carsirent,https://twitter.com/carsirent,https://carsirent.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"Rental, Taxi Service, Transportation",,,,,,"Commerce and Shopping, Transportation",$1M to $10M,,10,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Football Tickets,https://www.crunchbase.com/organization/online-football-tickets,"Manama, Al Manamah, Bahrain",Looking for upcoming football match tickets? Tifo Sport Football Tickets is a premier Football tickets website.,"1,206,381",,+966535573394,,,https://www.facebook.com/mesmm,https://www.twitter.com/tifosport,http://www.tifofootballtickets.com/,For Profit,,11-50,Gulf Cooperation Council (GCC),Sports,,,,,,Sports,$1M to $10M,,16,,,1985-04-10,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirrors,https://www.crunchbase.com/organization/mirrors-bef4,"Manama, Al Manamah, Bahrain",Mirrors is an online platform that connects global brands with talented individuals in the GCC and MENA Region.,"1,210,387",Info@bymirrors.com,+97339990979,"We discover destinies; if all the world is a stage then we are its reflection. We are a reflection of every shape, form and color of talent, we are talent’s Mirrors. Mirrors was made to produce platforms for talent to reflect our limitless possibilities and to generate sustainable economic and cultural value for society as a whole. Mirrors is a reflection of society: what it could be, what it can be and what it is. A mirror held up at the right angle reveals an image of the world, of truth, possibilities, reality and imagination.",,,,https://tarteeb.org/talents/,For Profit,Mohammed Al Muharraqi,1-10,Gulf Cooperation Council (GCC),"Advertising, Apps, Digital Marketing, Media and Entertainment, Music",,,,,,"Advertising, Apps, Media and Entertainment, Music and Audio, Sales and Marketing, Software",,,,,1,2020-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Petrochemical Industries,https://www.crunchbase.com/organization/gulf-petrochemical-industries,"Manama, Al Manamah, Bahrain",Gulf Petrochemical Industries is a manufacturer of fertilizers and petrochemicals.,"1,214,234",gpic@gpic.com,973-1773-1777,,https://www.linkedin.com/company/gulf-petrochemical-industries-co-,,,https://www.gpic.com,For Profit,,101-250,Gulf Cooperation Council (GCC),"Chemical, Chemical Engineering, Manufacturing",,,,"2,221","3,416,029","Manufacturing, Science and Engineering",$100M to $500M,65.99%,,,,1979-12-01,month,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.8%,1,,,,,,,
Fire Safety Solutions,https://www.crunchbase.com/organization/paramjit-singh,"Salmabad, Al Mintaqah al Wusta, Bahrain",Mastercool Equipment Security is a prominent service provider of fire safety solutions.,"1,223,870",info@mastercoolequipmentsecurity.com,97339926272,"Mastercool Equipment Security is a prominent service provider of fire safety solutions based in Bahrain, offering fire protection safety services and it annual maintenance contract services etc.",,http://www.facebook.com/mrparamjit,http://twitter.com/mrparamjit,http://www.mastercoolequipmentsecurity.com/services.php,For Profit,,,Gulf Cooperation Council (GCC),"Information Technology, Logistics, Security, Telecommunications, Virtual Reality",,,,,,"Hardware, Information Technology, Privacy and Security, Software, Transportation",,,,,,2013-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technal Middle East,https://www.crunchbase.com/organization/technal-middle,"Manama, Al Manamah, Bahrain",Technal Middle East delivers tailor-made aluminium building solutions.,"1,230,478",,,Technal Middle East delivers tailor-made aluminium building solutions. Technal Middle East offers the most suitable proprietary products and engineering solutions at the right price in the GCC & the region.,,,,,For Profit,,,Gulf Cooperation Council (GCC),Building Material,,,,,,Real Estate,,,,,,,,Active,,,,,,M&A,,,,,,,,,,,,,,,,,,,,,Was Acquired,Technal Middle East acquired by Norsk Hydro ASA,https://www.crunchbase.com/acquisition/norsk-hydro-acquires-technal-middle--1a256eb4,Norsk Hydro ASA,https://www.crunchbase.com/organization/norsk-hydro,35000000,EUR,39603512,Acquisition,,,,,,,,,,,,,,,
The Family Office,https://www.crunchbase.com/organization/the-family-office-e609,"Manama, Al Manamah, Bahrain","The Family Office is a financial firm dealing with financial planning, wealth management and other services.","1,248,945",inquiry@tfoco.com,+966 5340 9770,,https://www.linkedin.com/company/the-family-office/about/,,,https://www.tfoco.com/ar/,For Profit,,101-250,Gulf Cooperation Council (GCC),"Asset Management, Finance, Financial Services, Impact Investing, Real Estate, Wealth Management",,,,,,"Financial Services, Lending and Investments, Real Estate",$10M to $50M,,,,,2004-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab War Risks Insurance Syndicate,https://www.crunchbase.com/organization/arab-war-risks-insurance-syndicate,"Manama, Al Manamah, Bahrain",Arab War Risks Insurance Syndicate protects the national and economic interests of insurance companies and Arab countries.,"1,275,200",awris@awris.com,+973-17533488,,,,,https://awris.com,For Profit,,,Gulf Cooperation Council (GCC),"Association, Insurance, Risk Management",,,,,,"Financial Services, Other, Professional Services",$1M to $10M,,,,,1981-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain Kuwait Insurance,https://www.crunchbase.com/organization/bahrain-kuwait-insurance,"Manama, Al Manamah, Bahrain","Bahrain Kuwait Insurance is an insurance company that provides home, motor, group life and travel Insurance","1,277,939",info@gigbk.com.kw,+973 80008777,,https://www.linkedin.com/company/bahrain-kuwait-insurance-co./,,,http://www.gigbh.com,For Profit,,,Gulf Cooperation Council (GCC),"Insurance, Life Insurance, Property Insurance",,,,622,"4,950,089",Financial Services,,,,,,1975-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79,,,,,,,
Cherry Hire,https://www.crunchbase.com/organization/cherry-hire,"Manama, Al Manamah, Bahrain","Cherry Hire offers everything you need to hire, in one place.","1,279,987",support@cherryhire.com,+973 1711 2166,,https://linkedin.com/company/cherry-hire,http://facebook.com/cherryhire,https://twitter.com/cherry_hire,http://www.cherryhire.com,For Profit,,11-50,Gulf Cooperation Council (GCC),Social Recruiting,,,,,,Professional Services,$1M to $10M,,38,,,2015-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIME,https://www.crunchbase.com/organization/zime,"Manama, Al Manamah, Bahrain","ZIME provides project management, facility management, and consulting services.","1,280,589",info@zime.biz,966-56-553-2617,,,https://www.facebook.com/ZimeOfficial,https://twitter.com/ZIME_BAHRAIN,http://zime.biz,For Profit,,,Gulf Cooperation Council (GCC),"Consulting, Facility Management, Information Technology",,,,,,"Information Technology, Professional Services, Real Estate",,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Vincent Neckties,https://www.crunchbase.com/organization/blake-vincent-neckties,"Manama, Al Manamah, Bahrain","Blake Vincent Neckties , Men's Neckties and Accessories","1,307,608",,,,,https://www.facebook.com/621484824652153,https://www.twitter.com/salesblake,http://www.blake-vincent.com,For Profit,,,Gulf Cooperation Council (GCC),"Fashion, Lifestyle",,,,,,"Clothing and Apparel, Community and Lifestyle, Design",,,1,,,2014-07-14,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bander Hotels,https://www.crunchbase.com/organization/bander-hotels,"Manama, Al Manamah, Bahrain","Bander Hotels is a real estate company engaged in construction, investment and management of hotels, marina clubs and tourist restaurants.","1,329,708",info@banaderhotels.com,+973 17 200 064,,,,,http://www.banaderhotels.com,For Profit,,,Gulf Cooperation Council (GCC),"Commercial Real Estate, Construction, Property Development, Real Estate",,,,,,Real Estate,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHK Holding,https://www.crunchbase.com/organization/khk-holding,"Manama, Al Manamah, Bahrain",KHK Holding creates & manage a diversified portfolio of companies and subsidiaries.,"1,329,905",info@khkholding.com.bh,973-1700-0038,,,,,http://khkholding.com.bh,For Profit,,,Gulf Cooperation Council (GCC),"Finance, Financial Services, Retail",,,,,,"Commerce and Shopping, Financial Services",,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascentech Telecom,https://www.crunchbase.com/organization/ascentech-telecom,"Manama, Al Manamah, Bahrain",Telecommunications Company,"1,343,566",info@ascentech.net,+973 13309999,"A telecommunications and security company providing services in design, installation and consulting for medium to large scale projects. Licensed by the Telecommunications Regulation Authority.",https://www.linkedin.com/company/ascentech-telecom/,https://www.facebook.com/MyTelecom/,,https://www.ascentech.net,For Profit,Hamad Al Fahad,11-50,Gulf Cooperation Council (GCC),Telecommunications,,,,,,Hardware,,,,,1,2004-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopariba,https://www.crunchbase.com/organization/shopariba,"Manama, Al Manamah, Bahrain",Shopariba is an e-Commerce platform that provides international shopping services.,"1,346,090",support@shopariba.com,,,https://www.linkedin.com/company/shopariba,https://www.facebook.com/shopariba,https://twitter.com/shopariba,https://website.shopariba.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"E-Commerce, E-Commerce Platforms, Shopping",,,,,,"Commerce and Shopping, Internet Services",$1M to $10M,,,,,2014-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Hotels,https://www.crunchbase.com/organization/national-hotels,"Manama, Al Manamah, Bahrain",National Hotels is a hotel operations and management company.,"1,352,710",info@nhcbahrain.com,(+973) 1753 0838,,,,,http://www.nhcbahrain.com,For Profit,,,Gulf Cooperation Council (GCC),"Hotel, Tourism, Travel Accommodations",,,,,,Travel and Tourism,,,,,,1974-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain Flour Mills,https://www.crunchbase.com/organization/bahrain-flour-mills,"Manama, Al Manamah, Bahrain","Bahrain Flour Mills is a wheat flour production, importing, and marketing company.","1,352,773",info@bfm.bh,+973 17729984,,https://www.linkedin.com/company/bahrain-flour-mills-company-b-s-c/,https://www.facebook.com/Al-Matahin-443715092489348/,https://twitter.com/AMatahin,http://www.bfm.bh,For Profit,,101-250,Gulf Cooperation Council (GCC),"Food Processing, Marketing, Sales",,,,,,"Food and Beverage, Sales and Marketing",,,,,,1972-05-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solidarity Bahrain,https://www.crunchbase.com/organization/solidarity-bahrain,"Sitrah, Sitrah, Bahrain",Solidarity Bahrain offers insurance services.,"1,352,793",,(+973) 1713 0000,,,https://www.facebook.com/Insuringbahrain/,https://twitter.com/insuringbahrain/,http://www.solidarity.com.bh,For Profit,,,Gulf Cooperation Council (GCC),"Auto Insurance, Health Insurance, Insurance",,,,"3,812","2,387,134",Financial Services,,-46.07%,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.71%,1.56,,,,,,,
Bahrain Cinema,https://www.crunchbase.com/organization/bahrain-cinema,"Manama, Al Manamah, Bahrain","Bahrain Cinema is involved in screening of films, film distribution, advertisements and other related activities.","1,352,797",cineco@cineco.net,+973-17-258900,,,https://www.facebook.com/cinecocinemas.bhr/,,http://www.bahraincinema.com,For Profit,,,Gulf Cooperation Council (GCC),"Film, Film Distribution, Media and Entertainment",,,,"41,464","576,160","Media and Entertainment, Video",$1M to $10M,-53.26%,,,,1967-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.77%,3.25,,,,,,,
Gulf Hotels Group,https://www.crunchbase.com/organization/gulf-hotels-group,"Manama, Al Manamah, Bahrain","Gulf Hotels Group is a real estate company engaged in the development of hotels, offices and commercial properties.","1,355,183",info@gulfhotelsgroup.com,+973 17746446,,,,,http://www.gulfhotelsgroup.com,For Profit,,,Gulf Cooperation Council (GCC),"Construction, Property Development, Real Estate",,,,329,"5,976,614",Real Estate,,108.23%,,,,1967-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.56%,10.61,,,,,,,
Delmon Poultry,https://www.crunchbase.com/organization/delmon-poultry,"Hamala, Al Mintaqah al Gharbiyah, Bahrain","Delmon Poultry is engaged in processing, packing, and storing of frozen chicken.","1,357,718",info@dawajen.bh,+973 17608282,,,,,http://www.dawajen.bh,For Profit,,,Gulf Cooperation Council (GCC),"Animal Feed, Packaging Services, Sales",,,,158,"6,433,777","Administrative Services, Agriculture and Farming, Sales and Marketing",,4.64%,,,,1980-07-21,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33%,1,,,,,,,
Bahrain Family Leisure,https://www.crunchbase.com/organization/bahrain-family-leisure,"Manama, Al Manamah, Bahrain",Bahrain Family Leisure is a casual dining restaurants and food & beverage services management company.,"1,374,267",info@bflc.com.bh,+973 1729 2973,,,https://www.facebook.com/BahrainFamilyLeisureCompanyBflc/?ref=page_internal,https://twitter.com/BFLCBahrain,http://www.bflc.com.bh,For Profit,,251-500,Gulf Cooperation Council (GCC),"Hotel, Restaurants",,,,,,"Food and Beverage, Travel and Tourism",,,,,,1994-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASS Corp,https://www.crunchbase.com/organization/nass-corp,"Manama, Al Manamah, Bahrain","NASS Corp engaged primarily in engineering construction, manufacturing, marine, services, trading and marketing activities.","1,376,830",,973 1772 5522,,https://www.linkedin.com/company/nass-the-group-nass-corporation-bahrain/,https://www.facebook.com/NASS.GroupCorporation/,https://twitter.com/nassgroup,http://www.nasscorporation.com,For Profit,,,Gulf Cooperation Council (GCC),"Construction, Manufacturing",,,,,,"Manufacturing, Real Estate",,,,,,1963-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riffa Views International School,https://www.crunchbase.com/organization/riffa-views-international-school,"Hamad Town, Ar Rifa, Bahrain",Riffa Views International School offers personalized learning for students to have a deeper sense of identity and reach academic success.,"1,392,556",admissions@rvis.edu.bh,+973 1656 5000,"Riffa Views International School provide with a commitment to personalization for every child. They offer agile learning environment, and commitment to enhance the  local, and cultural values.",https://www.linkedin.com/company/conforama-suisse-sa/insights/,https://www.facebook.com/rvisbah/,https://twitter.com/rvis_bh,https://rvis.edu.bh,Non-profit,,51-100,Gulf Cooperation Council (GCC),"E-Learning, Education, Training",,,,,,"Education, Software",,,,,,2008-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
